192.168.0.1: average is 27, loss is + (0%
174.109.176.1: average is 36, loss is + (1%
174.111.105.48: average is 44, loss is + (0%
24.25.41.106: average is 32, loss is + (0%
24.93.64.184: average is 47, loss is + (1%
66.109.6.80: average is 56, loss is + (0%
66.109.5.117: average is 49, loss is + (0%
199.59.151.92: average is 66, loss is + (1%
104.244.42.1: average is 47, loss is + (0%
